@relation 'B_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-C-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute -0.97X+0.244Y numeric
@attribute -0.97Y-0.244X numeric
@attribute class {0,1}

@data
0.956559,0.854552,0
0.319712,0.464405,0
0.991509,0.695759,0
0.611296,0.211541,0
0.47739,0.316066,0
0.394616,0.467468,0
0.299183,0.483147,0
0.434252,0.345753,0
0.876947,0.793887,0
0.944301,0.929435,0
0.889452,0.588428,0
0.823092,0.435755,0
0.917706,0.344371,0
0.84653,0.515114,0
0.28311,0.559625,0
0.899162,0.783333,0
0.924603,0.773412,0
0.3789,0.210728,0
0.482359,0.261425,0
0.502313,0.287688,0
0.340087,0.620509,0
0.672006,0.102387,0
0.735644,0.210754,0
0.912893,0.290327,0
0.304135,0.429904,0
0.460089,0.272496,0
0.578203,0.181274,0
0.688671,0.137146,0
0.418874,0.42674,0
0.360187,0.55137,0
0.527317,0.163134,0
0.94606,0.597487,0
0.734607,0.17079,0
0.58449,0.234794,0
0.544153,0.274869,0
0.936143,0.880237,0
0.360464,0.405,0
0.662517,0.227322,0
0.964635,0.583776,0
0.419595,0.296344,0
0.61647,0.249488,0
0.655477,0.19919,0
0.866336,0.563628,0
0.853958,0.229061,0
0.48381,0.302879,0
0.89643,0.787394,0
0.517654,0.024649,0
0.681734,0.007519,0
0.97646,0.830613,0
0.398449,0.520208,0
0.676364,0.255444,0
0.664832,0.202882,0
0.367568,0.49757,0
0.35788,0.415322,0
0.890112,0.464621,0
0.958462,0.717922,0
0.781923,0.193523,0
0.763272,0.297214,0
0.53657,0.23931,0
0.87858,0.21581,0
0.794621,0.275062,0
0.629688,0.232051,0
0.393639,0.582283,0
0.423871,0.321734,0
0.504073,0.31262,0
0.799672,0.291118,0
0.674496,0.003942,0
0.902522,0.347341,0
0.893205,0.771809,0
0.597518,0.128841,0
0.901848,0.904795,0
0.703494,0.006909,0
0.478492,0.150459,0
0.55277,0.22017,0
0.914716,0.597753,0
0.98259,0.602657,0
0.397231,0.525228,0
0.775189,0.302225,0
0.507055,0.245461,0
0.934064,0.721449,0
0.993666,0.76306,0
0.359778,0.584839,0
0.548031,0.065108,0
0.363737,0.442326,0
0.409413,0.512242,0
0.969472,0.774371,0
0.560764,0.219887,0
0.426687,0.205028,0
0.390345,0.591128,0
0.921213,0.919803,0
0.862071,0.598717,0
0.956932,0.738628,0
0.630694,0.20696,0
0.848462,0.311441,0
0.462456,0.352202,0
0.385967,0.613444,0
0.95152,0.484563,0
0.403425,0.259502,0
0.92312,0.614594,0
0.859825,0.240654,0
0.958659,0.864162,0
0.937815,0.851065,0
0.762467,0.199677,0
0.9739,0.495968,0
0.768476,0.280917,0
0.700303,0.147055,0
0.455977,0.08275,0
0.359123,0.567843,0
0.71532,0.049286,0
0.367609,0.276567,0
0.763604,0.252789,0
0.813557,0.399466,0
0.56104,0.213733,0
0.549431,0.176487,0
0.321621,0.383071,0
0.356796,0.464287,0
0.98326,0.79758,0
0.314298,0.426898,0
0.694521,0.100267,0
0.703956,0.271268,0
0.999718,0.751362,0
0.588645,0.166732,0
0.716095,0.167516,0
0.343103,0.331765,0
0.872375,0.596459,0
0.39369,0.544046,0
0.412655,0.506456,0
0.368643,0.597469,0
0.963904,0.604185,0
0.951069,0.423938,0
0.618814,0.005347,0
0.448994,0.298033,0
0.947259,0.876069,0
0.357486,0.276175,0
0.501414,0.151681,0
0.728964,0.20518,0
0.968021,0.512543,0
0.881884,0.338292,0
0.711372,0.189921,0
0.436259,0.422981,0
0.452491,0.188402,0
0.978023,0.828649,0
0.828461,0.114864,0
0.745494,0.236983,0
0.936616,0.501559,0
0.942824,0.7657,0
0.331555,0.432437,0
0.81616,0.120939,0
0.430191,0.44637,0
0.539927,0.037302,0
0.364329,0.424478,0
0.882247,0.653954,0
0.915016,0.318392,0
0.659601,0.072186,0
0.922745,0.438727,0
0.909773,0.3638,0
0.547038,0.171004,0
0.827267,0.400459,0
0.402438,0.312941,0
0.849157,0.50823,0
0.686142,0.205371,0
0.361688,0.437654,0
0.394686,0.473063,0
0.370335,0.402552,0
0.344808,0.425441,0
0.388471,0.198248,0
0.800336,0.376724,0
0.42737,0.315804,0
0.666481,0.097419,0
0.381074,0.366984,0
0.336076,0.554164,0
0.782322,0.114879,0
0.83405,0.443087,0
0.900917,0.667305,0
0.299248,0.549831,0
0.88681,0.561731,0
0.880772,0.578322,0
0.421164,0.354918,0
0.833171,0.277306,0
0.456766,0.369452,0
0.502423,0.300796,0
0.428006,0.210022,0
0.847009,0.422551,0
